
"BO_R700" Chance 0.05
"HuntingOptic" Chance 0.5
"BO_Mag_R700_5rnd"

"BO_G43" 0.02
"ACOGOptic" 0.3
"M68Optic" 0.1
"BO_Mag_G43_10Rnd"
"Ammo_AE792x57" (Cargo) 0.3

"expansion_benellim4" 0.04
"Ammo_12gaPellets" 1.0 Attachment
"UniversalLight" 0.2
"ExpansionReflexMRSOptic" 0.2
"Ammo_12gaPellets" Cargo
"Ammo_12gaSlug" Cargo

"FOX_MP153"
"FOX_MP153_Bttstck" 1.0 Attachment
"Ammo_12gaPellets" 1.0 Attachment
"FOX_OKP7_Rail" 0.2 Attachment /with "Battery9v" Attachment 1.0
"Ammo_12gaPellets" Cargo

BO_R870 0.08
UniversalLight 0.2
Ammo_12gaPellets 1.0 Attachment
Ammo_12gaSlug 0.35 Attachement
ReflexOptic 0.35 Attachement /with "Battery9v" Attachment 1.0

UMP45 0.1
Mag_UMP_25Rnd 1.0 Attachement
UniversalLight 0.2 Attachement /with "Battery9v" Attachment 1.0
ReflexOptic 0.3 Attachement /with "Battery9v" Attachment 1.0
ACOGOptic 0.05 Attachement
PistolSuppressor 0.1 Attachement

Vikhr 0.05
Mag_Vikhr_30Rnd 1.0
PSO1Optic 0.2 /with "Battery9v" Attachment 1.0
PSO11Optic 0.1 /with "Battery9v" Attachment 1.0
FOX_OKP7 0.2 /with "Battery9v" Attachment 1.0
KobraOptic 0.3   /with "Battery9v" Attachment 1.0

BO_MP5A2 0.1
Mag_MP5_30Rnd 1.0 Attachement
UniversalLight 0.2 Attachement /with "Battery9v" Attachment 1.0
ReflexOptic 0.3 Attachement /with "Battery9v" Attachment 1.0
BO_Eotech552 0.1 Attachement
MP5_Compensator 0.25 Attachement

BO_G3A3 0.12
BO_Mag_G3A3_20rnd 1.0 Attachement

FAMAS
Mag_FAMAS_25Rnd


Pistolen:

MakarovIJ70
    Mag_IJ70_8Rnd 1.0
    PistolSuppressor 0.10
    TTC_PistolSuppressor 0.03
